FRAMEID	COMMONNAME	SMILES	INCHI	CLASS?
3-7-DIMETHYLXANTHINE	theobromine	CN2CNC1CCNCNC1OO2	InChI1S/C7H8N4O2/c1-10-3-8-5-4106129-7131152/h3H1-2H3H91213	false
CPD-15218	gibberellin A<sub>6</sub>	CC1C4OCC5C1C[CH]6C3COOCCC2OC23[CH]CC456CC[O-]O	InChI1S/C19H22O6/c1-8-5-17-7-188234-3-101719-6-9-1324-9162152225-1912191117142021/h9-1323H13-7H22H3H2021/p-1/t9?10-11-12-13?16-17+18+19-/m1/s1	false
CPD-8686	9-oxo-nonanoate	[CH]OCCCCCCCCO[O-]	InChI1S/C9H16O3/c10-8-6-4-2-1-3-5-7-91112/h8H1-7H2H1112/p-1	false
CPD-12175	<i>S</i>-3-hydroxy-isobutanoate	CCC[O-]OCO	InChI1S/C4H8O3/c1-32-5467/h35H2H21H3H67/p-1/t3-/m0/s1	false
PHOSPHATE-GROUP	a phosphate group	[O-]P[O-][O-]O	null	false
FE+2	Fe<SUP>2+</SUP>	[Fe++]	InChI1S/Fe/q+2	false
CPD-15091	6C-glucosyl-257-trihydroxyflavanone	C1CCCCC1COCCOC3COCCOCC2CCCOCO2COOOCO3	InChI1S/C21H22O10/c22-8-14-1727192920302131-1416-13267-12251518162811246-10239-4-2-1-3-5-9/h1-57141719-2225-30H68H2/t14-17-19+20-21+/m1/s1	false
13-HYDROXY-MAGNESIUM-PROTOPORP	13<SUP>1</SUP>-hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester	CCC2CCC4CC8CCCCCCO[O-]C7N[Mg]35N1CCCCCCC1CC2N34CC6CCCCOCCOOCCN56C78	null	false
GLYCERATE	D-glycerate	CO[O-]COCO	InChI1S/C3H6O4/c4-1-25367/h24-5H1H2H67/p-1/t2-/m1/s1	false
|A-DGAL-HEX-1:5_6:A|	a-dgal-HEX-1:5|6:a	null	null	false
CPD-5725	THF-L-glutamate	CO[O-]CCCCO[O-]NCCCCNCOC1CCCCC1NCC2CNC3NCNCOCN23NC[O-]OO	null	false
ISOEUGENOL	isoeugenol	CCCC1CCCCC1OCO	InChI1S/C10H12O2/c1-3-4-8-5-6-911107-812-2/h3-711H1-2H3/b4-3+	false
CPD-11941	luteoforol	C1CCCOCC1C2OC3CCC2OCOCCOC3O	InChI1S/C15H14O6/c16-8-4-111915-12206-1321-14155-87-1-2-91710183-7/h1-512-1316-20H6H2/t12?13-/m0/s1	false
56-DIHYDROXYINDOLE-2-CARBOXYLATE	56-dihydroxyindole-2-carboxylate	C1CNC2CCOCOCC12CO[O-]	InChI1S/C9H7NO4/c11-7-2-4-1-69131410-543-8712/h1-310-12HH1314/p-1	false
CPD-8653	betanidin	C[N+]1CC[O-]OCC2C1CCOCOC2CC3CCCO[O-]NCC[O-]OC3	InChI1S/C18H16N2O8/c21-14-6-9-5-13182728201297-1514222-1-8-3-1016232419-114-8172526/h1-36-71113H4-5H2H52122232425262728/p-2/t11-13-/m0/s1	false
DIHYDROCHELIRUBINE	dihydrochelirubine	C2C5C6OCOCCCOCCC1CCC3CC4OCOCCCC1NC23456	InChI1S/C21H17NO5/c1-22-8-14-191723-27-18-211427-10-26-1812-4-3-11-5-15-1625-9-24-156-1311201222/h3-7H8-10H21-2H3	false
CPD-14133	<i>R</i>-NADPHX	C5NC1OCCC1OOCOPOPOCC4CCCN3C2CCNCN2NNC3O4OP[O-][O-]OO[O-]OO[O-]COCCCCON5	InChI1S/C21H32N7O18P3/c22-17-12-1925-6-24-17287-26-1221-1645-4734353614311044-215-42-49394046-48373841-4-9-133015322043-927-3-81823331-2-112729/h36-79-1113-1620-2129-32H1-24-5H2H22333H3738H3940H2222425H2343536/p-4/t9-10-11-13-14-15-16-20-21-/m1/s1	false
L-RIBULOSE-5-P	L-ribulose 5-phosphate	COPO[O-][O-]COCOCOCO	InChI1S/C5H11O8P/c6-1-3759482-13-14101112/h4-68-9H1-2H2H2101112/p-2/t4-5+/m0/s1	false
CPD-537	2-hydroxy-cyclohexane-1-carbonyl-CoA	CCCCOCONCCCONCCSCOC1CCCCCO1COPOOPOOCC2COP[O-]O[O-]COCO2N4C3CCNNCN3NC4[O-][O-]	InChI1S/C28H46N7O18P3S/c1-2822239254031-8-7-183730-9-10-57-274115-5-3-4-6-16153612-50-56474853-55454649-11-17-2152-5442434420382651-1735-14-34-19-232932-13-33-241935/h13-1720-22263638-39H3-12H21-2H3H3037H3140H4546H4748H2293233H2424344/p-4/t15?16?17-20-21-22+26-/m1/s1	false
MESO-TARTRATE	<i>meso</i>-tartrate	CCCC[O-]OOO[O-]O	InChI1S/C4H6O6/c5-1378264910/h1-25-6HH78H910/p-2/t1-2+	false
DAMP	dAMP	CC3CCCN2C1CCNCN1NNC2O3OOP[O-][O-]O	InChI1S/C10H14N5O6P/c11-9-8-1013-3-12-9154-14-87-1-516621-72-20-22171819/h3-716H1-2H2H2111213H2171819/p-2/t5-6+7+/m0/s1	false
UNDECAPRENYL-DIPHOSPHATE	<i>di-transocta-cis</i>-undecaprenyl diphosphate	CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOP[O-]OOPO[O-][O-]CCC	InChI1S/C55H92O7P2/c1-45223-13-24-46325-14-26-47427-15-28-48529-16-30-49631-17-32-50733-18-34-51835-19-36-52937-20-38-531039-21-40-541141-22-42-551243-44-61-64596062-63565758/h2325272931333537394143H13-222426283032343638404244H21-12H3H5960H2565758/p-3/b46-25+47-27+48-29-49-31-50-33-51-35-52-37-53-39-54-41-55-43-	false
NADH	NADH	C1CCCCN1C5OCCOPO[O-]OPO[O-]OCC2OCCOCO2N4CNC3CNNCNC34COCO5CNO	InChI1S/C21H29N7O14P2/c22-17-12-1925-7-24-17288-26-1221-163214301141-216-39-44363742-43343538-5-10-132915312040-1027-3-1-2-94-27182333/h13-47-810-1113-1620-2129-32H25-6H2H22333H3435H3637H2222425/p-2/t10-11-13-14-15-16-20-21-/m1/s1	false
CPD-8135	crinosterol	CCCCCCCCC[CH]3CC[CH]4[CH]2CCC1CCOCCCC1[CH]2CCCC34	InChI1S/C28H46O/c1-1821937-8-20424-11-12-25-23-10-9-21-17-222913-15-27215262314-16-2824256/h7-918-2022-2629H10-17H21-6H3/b8-7+/t19-20-22+23+24-25+26+27+28-/m1/s1	false
CPD-11281	<i>S</i>-sulfanylglutathione	CSSCCNCC[O-]OONCOCCC[N+]C[O-]O	InChI1S/C10H17N3O6S2/c11-51018191-2-71413-64-21-2091712-3-81516/h5-620H1-411H2H1217H1314H1516H1819/p-1/t5-6-/m0/s1	false
CPD-11444	uroporphyrinogen-I	CO[O-]CCC5C4NCCC1NCCCC[O-]OCCCCO[O-]1CC2NCCCCCCO[O-]2CCO[O-]CC3CCCC[O-]OCCCO[O-]CN3C4CCCO[O-]5	InChI1S/C40H44N4O16/c45-33465-1-17-219-37535429-14-26-193-7-3549502311-3957583143-2616-28-204-8-3651522412-4059603244-2815-27-182-6-3447482210-3855563042-2713-251741-29/h41-44H1-16H2H4546H4748H4950H5152H5354H5556H5758H5960/p-8	false
CPD-303	cyclohexylamine	C1CCCCC1[N+]	InChI1S/C6H13N/c7-6-4-2-1-3-5-6/h6H1-57H2/p+1	false
CAFFEOYL-COA	<i>trans</i>-caffeoyl-CoA	CCCCOCONCCCONCCSCOCCC1CCCOCC1OCOPOOPOOCC2COP[O-]O[O-]COCO2N4C3CCNNCN3NC4[O-][O-]	InChI1S/C30H42N7O19P3S/c1-3022543284433-8-7-204032-9-10-60-21416-4-16-3-5-1738183911-1613-53-59505156-58484952-12-19-2455-5745464723422954-1937-15-36-22-263134-14-35-272237/h3-61114-151923-252938-3942-43H7-1012-13H21-2H3H3240H3344H4849H5051H2313435H2454647/p-4/b6-4+/t19-23-24-25+29-/m1/s1	false
ATABRINE	atabrine	CC[N+]CCCCNC2C3C[N+]C1CCCCC12OCCCCC3ClCCC	InChI1S/C23H30ClN3O/c1-5-276-213-7-8-16325-23-19-11-9-172414-221926-21-12-10-1828-415-202123/h9-1214-16H5-813H21-4H3H2526/p+2	false
CPD-6956	bis-noryangonin	C1CCCCC1CCC2OCOCC[O-]C2O	InChI1S/C13H10O4/c14-10-4-1-92-5-103-6-12-7-11158-131617-12/h1-814-15H/p-1/b6-3+	false
