"Gene_symbol"	"   Genes"	"Freq"
"CP"	"ceruloplasmin (ferroxidase)"	"1151"
"T"	"T, brachyury homolog (mouse)"	"392"
"CS"	"citrate synthase"	"268"
"C3"	"complement component 3"	"189"
"ABP1"	"amiloride binding protein 1 (amine oxidase (copper-containing))"	"135"
"MYB"	"v-myb myeloblastosis viral oncogene homolog (avian)"	"115"
"F2"	"coagulation factor II (thrombin)"	"111"
"DAP"	"death-associated protein"	"88"
"PC"	"pyruvate carboxylase"	"88"
"CAT"	"catalase"	"83"
"GC"	"group-specific component (vitamin D binding protein)"	"82"
"TF"	"transferrin"	"69"
"SDS"	"serine dehydratase"	"66"
"HP"	"haptoglobin"	"62"
"HR"	"hair growth associated"	"48"
"HMGB1"	"high mobility group box 1"	"41"
"PCNA"	"proliferating cell nuclear antigen"	"39"
"SET"	"SET nuclear oncogene"	"36"
"C2"	"complement component 2"	"35"
"ID1"	"inhibitor of DNA binding 1, dominant negative helix-loop-helix protein"	"35"
"LOX"	"lysyl oxidase"	"29"
"PIP"	"prolactin-induced protein"	"27"
"TG"	"thyroglobulin"	"27"
"CAD"	"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"	"26"
"COMT"	"catechol-O-methyltransferase"	"25"
"ABI3"	"ABI family, member 3"	"24"
"IMPACT"	"impact RWD domain protein"	"21"
"F3"	"coagulation factor III (thromboplastin, tissue factor)"	"20"
"PDC"	"phosducin"	"20"
"RAD51"	"RAD51 homolog (S. cerevisiae)"	"20"
"DHPS"	"deoxyhypusine synthase"	"18"
"MNF1"	"mitochondrial nucleoid factor 1"	"18"
"PIN1"	"peptidylprolyl cis/trans isomerase, NIMA-interacting 1"	"17"
"PAN2"	"PAN2 poly(A) specific ribonuclease subunit homolog (S. cerevisiae)"	"16"
"SP2"	"Sp2 transcription factor"	"16"
"TBP"	"TATA box binding protein"	"16"
"AR"	"androgen receptor"	"14"
"CCS"	"copper chaperone for superoxide dismutase"	"14"
"HDAC1"	"histone deacetylase 1"	"14"
"PHB"	"prohibitin"	"14"
"SI"	"sucrase-isomaltase (alpha-glucosidase)"	"14"
"TSC2"	"tuberous sclerosis 2"	"14"
"CEL"	"carboxyl ester lipase"	"13"
"GLB1"	"galactosidase, beta 1"	"13"
"MPI"	"mannose phosphate isomerase"	"13"
"C5"	"complement component 5"	"12"
"CPD"	"carboxypeptidase D"	"12"
"ERF"	"Ets2 repressor factor"	"12"
