"words"	"Freq"
"was"	24611
"were"	23517
"maize"	19131
"protein"	16260
"gene"	9444
"genes"	8316
"corn"	7873
"proteins"	7511
"expression"	7286
"0"	6840
"plant"	6327
"plants"	6289
"1"	5772
"activity"	5189
"results"	5085
"acid"	4888
"both"	4803
"2"	4606
"analysis"	4528
"between"	4524
"increased"	4377
"study"	4188
"diets"	4153
"been"	4130
"diet"	4071
"during"	4055
"fed"	4049
"different"	4043
"has"	3964
"using"	3956
"3"	3823
"levels"	3819
"sequence"	3810
"5"	3679
"showed"	3646
"cell"	3626
"high"	3582
"used"	3534
"higher"	3516
"cells"	3471
"found"	3370
"amino"	3318
"milk"	3213
"growth"	3127
"compared"	3098
"total"	3047
"more"	3021
"4"	3004
"development"	2977
"may"	2968
"had"	2965
"enzyme"	2939
"rice"	2920
"control"	2891
"identified"	2867
"three"	2848
"information"	2824
"similar"	2750
"starch"	2722
"however"	2694
"(p"	2694
"species"	2686
"content"	2665
"production"	2630
"dna"	2616
"effect"	2588
"effects"	2527
"cows"	2524
"observed"	2519
"leaves"	2486
"expressed"	2481
"sequences"	2391
"wheat"	2354
"level"	2333
"respectively"	2314
"molecular"	2299
"author"	2296
"transgenic"	2280
"data"	2251
"arabidopsis"	2247
"significantly"	2247
"leaf"	2238
"n"	2232
"stress"	2211
"response"	2193
"present"	2186
"low"	2171
"under"	2171
"containing"	2156
"root"	2135
"treatment"	2119
"6"	2104
"mutant"	2074
"binding"	2071
"revealed"	2046
"dietary"	2037
"each"	2027
"role"	2019
"reduced"	2009
"significant"	2007
"region"	2006
"acids"	2001
"mays"	1990
"increase"	1981
"did"	1975
"specific"	1932
"such"	1928
"those"	1907
"involved"	1891
"lower"	1889
"intake"	1879
"concentration"	1868
"d"	1866
"<"	1857
"isolated"	1850
"family"	1849
"feed"	1847
"endosperm"	1842
"concentrations"	1840
"l"	1839
"decreased"	1838
"(zea"	1837
"addition"	1826
"important"	1826
"meal"	1825
"resistance"	1818
"suggest"	1773
"among"	1765
"promoter"	1765
"roots"	1734
"group"	1730
"silage"	1724
"studies"	1724
"differences"	1722
"based"	1716
"changes"	1714
"within"	1711
