"PathwayID"	"PathwayName"	"GeneList"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"Zm00001d034420_T007.1"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"Zm00001d025984_T001.1"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"Zm00001d016419_T001.1"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"Zm00001d029719_T002.1"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"alt7"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"alt8"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"Zm00001d018639_T002.1"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"Zm00001d014258_T002.1"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"Zm00001d044135_T001.1"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"Zm00001d022152_T001.1"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"Zm00001d020590_T009.1"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"Zm00001d032984_T001.1"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"Zm00001d006875_T001.1"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"Zm00001d008277_T001.1"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"Zm00001d030557_T001.1"
"ALACAT2-PWY"	"L-alanine degradation II (to D-lactate)"	"Zm00001d003953_T001.1"
"ALANINE-DEG3-PWY"	"L-alanine degradation III"	"alt7"
"ALANINE-DEG3-PWY"	"L-alanine degradation III"	"alt8"
"ALANINE-DEG3-PWY"	"L-alanine degradation III"	"Zm00001d018639_T002.1"
"ALANINE-DEG3-PWY"	"L-alanine degradation III"	"Zm00001d014258_T002.1"
"ALANINE-DEG3-PWY"	"L-alanine degradation III"	"Zm00001d044135_T001.1"
"ALANINE-DEG3-PWY"	"L-alanine degradation III"	"Zm00001d022152_T001.1"
"ALANINE-DEG3-PWY"	"L-alanine degradation III"	"Zm00001d020590_T009.1"
